id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
6XbXjlJZxRZslzXDh115DL,0.767,0.23,2,-10.728,1,0.199,0.995,0.605,0.133,0.868,119.985,audio_features,spotify:track:6XbXjlJZxRZslzXDh115DL,https://api.spotify.com/v1/tracks/6XbXjlJZxRZslzXDh115DL,https://api.spotify.com/v1/audio-analysis/6XbXjlJZxRZslzXDh115DL,177507,4
6XoyWGdCJwFaJV1Pnmphwr,0.531,0.124,2,-23.243,1,0.0711,0.995,0.0168,0.118,0.555,101.902,audio_features,spotify:track:6XoyWGdCJwFaJV1Pnmphwr,https://api.spotify.com/v1/tracks/6XoyWGdCJwFaJV1Pnmphwr,https://api.spotify.com/v1/audio-analysis/6XoyWGdCJwFaJV1Pnmphwr,159107,3
6XxKNIhZQsW1A5Sg6O32Is,0.662,0.606,7,-7.026,0,0.0376,0.422,0.915,0.0594,0.645,111.999,audio_features,spotify:track:6XxKNIhZQsW1A5Sg6O32Is,https://api.spotify.com/v1/tracks/6XxKNIhZQsW1A5Sg6O32Is,https://api.spotify.com/v1/audio-analysis/6XxKNIhZQsW1A5Sg6O32Is,372962,4
6Z6DJ8L7WMy2WHbXe3jR9I,0.238,0.0324,7,-24.361,0,0.0541,0.987,0.000986,0.112,0.0379,172.321,audio_features,spotify:track:6Z6DJ8L7WMy2WHbXe3jR9I,https://api.spotify.com/v1/tracks/6Z6DJ8L7WMy2WHbXe3jR9I,https://api.spotify.com/v1/audio-analysis/6Z6DJ8L7WMy2WHbXe3jR9I,173293,3
6ZSXaYQBOPDDmKeqaOfBa2,0.668,0.261,7,-16.91,0,0.101,0.983,0.0232,0.122,0.702,120.553,audio_features,spotify:track:6ZSXaYQBOPDDmKeqaOfBa2,https://api.spotify.com/v1/tracks/6ZSXaYQBOPDDmKeqaOfBa2,https://api.spotify.com/v1/audio-analysis/6ZSXaYQBOPDDmKeqaOfBa2,151840,4
6ZWi1fuonJCUlt4p6o9Uzs,0.769,0.442,2,-12.697,0,0.273,0.989,1.27E-06,0.167,0.934,132.125,audio_features,spotify:track:6ZWi1fuonJCUlt4p6o9Uzs,https://api.spotify.com/v1/tracks/6ZWi1fuonJCUlt4p6o9Uzs,https://api.spotify.com/v1/audio-analysis/6ZWi1fuonJCUlt4p6o9Uzs,140267,4
6aBzlB3FTioN5vCTfdswr8,0.801,0.113,4,-12.147,1,0.0837,0.994,0.206,0.129,0.672,117.063,audio_features,spotify:track:6aBzlB3FTioN5vCTfdswr8,https://api.spotify.com/v1/tracks/6aBzlB3FTioN5vCTfdswr8,https://api.spotify.com/v1/audio-analysis/6aBzlB3FTioN5vCTfdswr8,166493,4
6aNewFey3lEHDerGgy3rYN,0.854,0.151,4,-11.163,0,0.137,0.994,0.371,0.159,0.781,110.331,audio_features,spotify:track:6aNewFey3lEHDerGgy3rYN,https://api.spotify.com/v1/tracks/6aNewFey3lEHDerGgy3rYN,https://api.spotify.com/v1/audio-analysis/6aNewFey3lEHDerGgy3rYN,200213,4
6aXTusFB0Ycjmt9TXr2cfK,0.677,0.204,1,-20.024,0,0.957,0.708,0,0.104,0.667,84.826,audio_features,spotify:track:6aXTusFB0Ycjmt9TXr2cfK,https://api.spotify.com/v1/tracks/6aXTusFB0Ycjmt9TXr2cfK,https://api.spotify.com/v1/audio-analysis/6aXTusFB0Ycjmt9TXr2cfK,95900,3
6bKJYhoaWIohnhspidbdW7,0.738,0.282,1,-16.556,1,0.952,0.777,0,0.29,0.703,140.612,audio_features,spotify:track:6bKJYhoaWIohnhspidbdW7,https://api.spotify.com/v1/tracks/6bKJYhoaWIohnhspidbdW7,https://api.spotify.com/v1/audio-analysis/6bKJYhoaWIohnhspidbdW7,139100,3
